來源	公布日期	證券代號	名稱	累計	處置條件	處置期間	處置措施
TPEX	107/05/22	4806	昇華	3	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/23~107/06/05	再次處置 / 10分
TPEX	107/05/22	48061	昇華一	3		107/05/23~107/06/05	再次處置 / 10分
TPEX	107/05/22	48062	昇華二	3		107/05/23~107/06/05	再次處置 / 10分
TWSE	107/05/22	911616	杜康-DR	39	連續五次	107/05/23～107/06/05	第二次處置 / 20分
TWSE	107/05/21	2388	威盛	3	最近十個營業日已有六次	107/05/22～107/06/04	第一次處置 / 5分
TPEX	107/05/18	61963	帆宣三	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/21~107/06/01	第一次處置 / 5分
TPEX	107/05/17	31631	波若威一	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/18~107/05/31	再次處置 / 5分
TPEX	107/05/17	6212	理銘	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/18~107/05/31	再次處置 / 5分
TWSE	107/05/15	2349	錸德	3	連續三次	107/05/16～107/05/29	第一次處置 / 5分
TWSE	107/05/15	2478	大毅	2	連續五次	107/05/16～107/05/29	第一次處置 / 5分
TPEX	107/05/15	4609	唐鋒	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/16~107/05/29	再次處置 / 20分
TPEX	107/05/15	8043	蜜望實	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/16~107/05/29	再次處置 / 5分
TWSE	107/05/15	911616	杜康-DR	39	連續五次	107/05/16～107/05/29	第二次處置 / 20分
TWSE	107/05/14	2327	國巨	1	連續三次	107/05/15～107/05/28	第一次處置 / 5分
TWSE	107/05/14	3026	禾伸堂	1	連續三次	107/05/15～107/05/28	第一次處置 / 5分
TPEX	107/05/11	6173	信昌電	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/14~107/05/25	再次處置 / 5分
TPEX	107/05/11	62908	良維八	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/14~107/05/25	再次處置 / 5分
TPEX	107/05/10	4609	唐鋒	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/11~107/05/24	再次處置 / 5分
TPEX	107/05/10	5321	友銓	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/11~107/05/24	再次處置 / 20分
TWSE	107/05/08	911616	杜康-DR	39	連續五次	107/05/09～107/05/22	第二次處置 / 20分
TWSE	107/05/08	9958	世紀鋼	5	連續三次	107/05/09～107/05/22	第二次處置 / 20分
TWSE	107/05/07	2492	華新科	1	連續三次	107/05/08～107/05/21	第一次處置 / 5分
TPEX	107/05/07	5321	友銓	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/08~107/05/21	第一次處置 / 5分
TPEX	107/05/03	5481	華韡	1	因連續3個營業日達本中心作業要點第四條第一項第一款	107/05/04~107/05/17	再次處置 / 20分
TWSE	107/04/30	911616	杜康-DR	39	連續五次	107/05/02～107/05/15	第二次處置 / 20分
TPEX	107/04/27	5481	華韡	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/30~107/05/14	再次處置 / 5分
TPEX	107/04/27	8932	宏大	2	因連續3個營業日達本中心作業要點第四條第一項第一款	107/04/30~107/05/14	再次處置 / 20分
TWSE	107/04/27	9958	世紀鋼	5	最近十個營業日已有六次	107/04/30～107/05/14	第二次處置 / 20分
